RowsA,ColsA,ColsB,CGRA,CPU,Speedup
55,34,32,64406,856200,"13,29"
55,34,33,66122,883045,"13,35"
55,34,34,66637,973179,"14,60"
55,34,35,90818,936505,"10,31"
55,35,32,66198,880840,"13,31"
55,35,33,67962,908455,"13,37"
55,35,34,68510,935955,"13,66"
55,35,35,93299,1030654,"11,05"
56,32,32,60822,821639,"13,51"
56,32,33,62408,847355,"13,58"
56,32,34,62929,873003,"13,87"
56,32,35,86987,898651,"10,33"
56,33,32,62614,846678,"13,52"
56,33,33,64249,934032,"14,54"
56,33,34,63097,899659,"14,26"
56,33,35,89608,926091,"10,33"
56,34,32,64406,871766,"13,54"
56,34,33,66157,899099,"13,59"
56,34,34,66665,990872,"14,86"
56,34,35,92273,953531,"10,33"
56,35,32,66198,896854,"13,55"
56,35,33,67998,924971,"13,60"
56,35,34,68532,952971,"13,91"
56,35,35,94889,1049392,"11,06"
57,32,32,60973,894565,"14,67"
57,32,33,62241,922621,"14,82"
57,32,34,76247,888591,"11,65"
57,32,35,102550,914697,"8,92"
57,33,32,62765,921932,"14,69"
57,33,33,64044,888750,"13,88"
57,33,34,79140,915723,"11,57"
57,33,35,105638,942627,"8,92"
57,34,32,64557,949292,"14,70"
57,34,33,65841,979051,"14,87"
57,34,34,80849,1008565,"12,47"
57,34,35,108704,970557,"8,93"
57,35,32,66349,976652,"14,72"
57,35,33,67605,1007266,"14,90"
57,35,34,83146,969987,"11,67"
57,35,35,114101,1068130,"9,36"
58,32,32,61236,910258,"14,86"
58,32,33,65972,877615,"13,30"
58,32,34,93063,967226,"10,39"
58,32,35,121485,995646,"8,20"
58,33,32,63027,938105,"14,88"
58,33,33,67953,967388,"14,24"
58,33,34,96695,996806,"10,31"
58,33,35,125184,1026096,"8,20"
58,34,32,64819,965945,"14,90"
58,34,33,69984,931207,"13,31"
58,34,34,97153,959325,"9,87"
58,34,35,128861,1056546,"8,20"
58,35,32,66610,993785,"14,92"
58,35,33,71978,958003,"13,31"
58,35,34,99908,1055966,"10,57"
58,35,35,129807,1015933,"7,83"
59,32,32,65131,865652,"13,29"
59,32,33,66815,892745,"13,36"
59,32,34,67448,919767,"13,64"
59,32,35,91944,1012811,"11,02"
59,33,32,67051,892032,"13,30"
59,33,33,68787,984066,"14,31"
59,33,34,67563,947851,"14,03"
59,33,35,94654,1043786,"11,03"
59,34,32,68971,918464,"13,32"
59,34,33,70791,947261,"13,38"
59,34,34,71338,1043951,"14,63"
59,34,35,97391,1074761,"11,04"
59,35,32,70891,944896,"13,33"
59,35,33,72763,974519,"13,39"
59,35,34,71403,1074171,"15,04"
59,35,35,100148,1033449,"10,32"
60,32,32,65131,880323,"13,52"
60,32,33,66818,907875,"13,59"
60,32,34,67473,935355,"13,86"
60,32,35,93286,1029976,"11,04"
60,33,32,67051,907150,"13,53"
60,33,33,68790,1000744,"14,55"
60,33,34,67573,963915,"14,26"
60,33,35,96069,1061476,"11,05"
60,34,32,68971,934030,"13,54"
60,34,33,70794,963315,"13,61"
60,34,34,71382,1061644,"14,87"
60,34,35,98846,1092976,"11,06"
60,35,32,70891,960910,"13,55"
60,35,33,72799,991035,"13,61"
60,35,34,71413,1092376,"15,30"
60,35,35,101645,1050964,"10,34"
61,32,32,65282,957337,"14,66"
61,32,33,66593,987361,"14,83"
61,32,34,80492,1017251,"12,64"
61,32,35,108854,1047141,"9,62"
61,33,32,67202,986624,"14,68"
61,33,33,68555,951114,"13,87"
61,33,34,83788,1048361,"12,51"
61,33,35,112101,1079166,"9,63"
61,34,32,69105,949596,"13,74"
61,34,33,70860,979369,"13,82"
61,34,34,86182,1008943,"11,71"
61,34,35,117509,1038661,"8,84"
61,35,32,71042,1045184,"14,71"
61,35,33,72443,1077946,"14,88"
61,35,34,88037,1038051,"11,79"
61,35,35,119110,1068479,"8,97"
62,32,32,65545,973030,"14,85"
62,32,33,68671,938135,"13,66"
62,32,34,97291,966531,"9,93"
62,32,35,127673,994927,"7,79"
